,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
16489,юр. лицо,получение средств,857.12,наличный,Гродно,МаксБанк-BPTF-337,27-04-2000,20:05:07,успешно,нет,0.0
16509,физ. лицо,получение средств,690.21,безналичный,Брест,Беларусбанк-AEUA-280,27-04-2020,19:39:57,успешно,нет,0.0
16513,юр. лицо,списание средств,863.42,безналичный,Брест,МаксБанк-BIHC-515,02-05-2001,23:23:19,успешно,нет,0.0
16516,физ. лицо,получение средств,447.84,наличный,Гомель,МаксБанк-IFKG-434,06-08-2002,20:48:32,успешно,нет,0.0
16527,юр. лицо,получение средств,29.85,наличный,Минск,БелАгропромбанк-JUTG-778,28-08-2007,04:21:27,успешно,нет,0.0
16528,юр. лицо,получение средств,718.86,безналичный,Могилев,Белинвестбанк-VNKD-250,27-06-2017,08:25:09,успешно,нет,0.0
16540,физ. лицо,получение средств,378.71,наличный,Гродно,БелАгропромбанк-WIPW-873,18-01-2009,18:39:37,успешно,нет,0.0
16543,юр. лицо,получение средств,635.91,наличный,Гродно,Белинвестбанк-TMPW-745,17-01-2023,23:20:53,успешно,нет,0.0
16545,юр. лицо,получение средств,458.81,наличный,Могилев,Белинвестбанк-PFVH-277,25-12-2002,14:40:34,успешно,нет,0.0
16549,юр. лицо,получение средств,771.65,безналичный,Минск,Приорбанк-SZEG-156,06-04-2016,22:56:37,успешно,нет,0.0
16550,юр. лицо,получение средств,107.1,наличный,Могилев,Беларусбанк-SAJG-781,21-09-2003,11:57:01,успешно,нет,0.0
16552,юр. лицо,списание средств,845.56,безналичный,Брест,Приорбанк-NEUW-890,13-10-2007,02:36:01,недостаточно средств,да,50.99
16560,физ. лицо,списание средств,366.68,безналичный,Минск,БелАгропромбанк-UTEA-577,30-12-2011,12:14:07,успешно,нет,0.0
16564,физ. лицо,списание средств,552.58,наличный,Могилев,Белинвестбанк-KIJA-094,27-11-2005,19:16:42,недостаточно средств,да,29.26
16575,физ. лицо,получение средств,519.92,безналичный,Минск,Белинвестбанк-IPWG-588,04-04-2024,19:10:02,успешно,нет,0.0
16576,юр. лицо,списание средств,59.27,безналичный,Брест,МаксБанк-DEUL-431,26-11-2016,10:07:48,неправильный ввод пин-кода,нет,0.0
16578,юр. лицо,получение средств,240.65,наличный,Гомель,Белинвестбанк-DIAB-348,05-12-2016,07:28:57,успешно,нет,0.0
16579,физ. лицо,списание средств,412.03,наличный,Гродно,БелАгропромбанк-YQTW-938,15-12-2020,01:31:38,неправильный ввод пин-кода,да,38.45
16580,юр. лицо,списание средств,87.67,наличный,Витебск,МаксБанк-RPVZ-437,08-04-2024,21:53:30,неправильный ввод пин-кода,да,5.42
16583,юр. лицо,списание средств,803.36,безналичный,Витебск,МаксБанк-HJDF-691,11-01-2012,22:18:28,недостаточно средств,да,29.24
16605,физ. лицо,получение средств,306.56,безналичный,Гомель,Приорбанк-DQZN-564,10-06-2007,15:18:24,успешно,нет,0.0
16607,физ. лицо,списание средств,182.65,безналичный,Витебск,БелАгропромбанк-VYNF-839,01-02-2002,23:15:19,недостаточно средств,нет,0.0
16608,физ. лицо,получение средств,764.14,безналичный,Витебск,МаксБанк-AQFE-155,25-07-2009,23:32:08,успешно,нет,0.0
16609,физ. лицо,списание средств,521.67,наличный,Гомель,Приорбанк-JAFP-555,16-03-2016,11:38:12,неправильный ввод пин-кода,да,16.52
16614,физ. лицо,списание средств,346.05,наличный,Могилев,МаксБанк-MPPJ-003,31-05-2016,03:32:25,успешно,нет,0.0
16619,юр. лицо,получение средств,798.57,наличный,Минск,Приорбанк-VCXE-716,31-01-2006,00:48:16,успешно,нет,0.0
16621,физ. лицо,списание средств,324.68,наличный,Гомель,Беларусбанк-MGFC-399,08-08-2007,10:16:56,недостаточно средств,нет,0.0
16622,юр. лицо,получение средств,443.14,безналичный,Витебск,Беларусбанк-RXFE-975,20-10-2002,12:51:01,успешно,нет,0.0
16625,юр. лицо,получение средств,131.3,наличный,Гомель,Белинвестбанк-ROKH-067,07-11-2010,10:58:46,успешно,нет,0.0
16628,физ. лицо,списание средств,746.03,наличный,Витебск,Беларусбанк-YRGU-773,29-11-2023,02:47:55,неправильный ввод пин-кода,да,10.0
16636,физ. лицо,списание средств,304.49,безналичный,Витебск,Приорбанк-ZMFO-535,02-11-2019,14:31:13,неправильный ввод пин-кода,нет,0.0
16638,физ. лицо,списание средств,561.72,наличный,Минск,Беларусбанк-BYAD-226,18-06-2000,14:14:28,неправильный ввод пин-кода,да,8.96
16639,физ. лицо,получение средств,895.08,безналичный,Витебск,Приорбанк-JLJH-084,03-01-2015,08:05:09,успешно,нет,0.0
16640,физ. лицо,получение средств,315.19,безналичный,Минск,Приорбанк-MOXB-505,13-08-2003,12:28:52,успешно,нет,0.0
16641,физ. лицо,получение средств,601.82,наличный,Брест,Белинвестбанк-ADZD-475,19-06-2004,02:44:26,успешно,нет,0.0
16644,юр. лицо,списание средств,456.5,наличный,Могилев,Белинвестбанк-CSQS-285,25-07-2018,10:01:24,успешно,нет,0.0
16652,юр. лицо,получение средств,700.88,безналичный,Гродно,МаксБанк-HGPD-395,16-11-2015,20:22:57,успешно,нет,0.0
16656,юр. лицо,получение средств,549.92,безналичный,Минск,МаксБанк-ALMH-573,09-05-2001,03:10:52,успешно,нет,0.0
16658,юр. лицо,получение средств,286.8,наличный,Могилев,Белинвестбанк-LXOS-594,03-04-2013,10:28:05,успешно,нет,0.0
16663,юр. лицо,списание средств,531.65,наличный,Минск,МаксБанк-HTSZ-415,17-04-2012,06:36:36,неправильный ввод пин-кода,нет,0.0
16673,физ. лицо,получение средств,877.31,безналичный,Гомель,Приорбанк-JKXO-223,18-02-2014,07:33:02,успешно,нет,0.0
16681,юр. лицо,получение средств,654.89,безналичный,Могилев,Беларусбанк-QLKG-630,08-08-2011,17:30:07,успешно,нет,0.0
16682,физ. лицо,получение средств,287.58,безналичный,Могилев,Беларусбанк-TZZC-070,29-04-2023,03:28:35,успешно,нет,0.0
16683,физ. лицо,списание средств,313.8,безналичный,Гродно,МаксБанк-JJGD-157,12-03-2022,16:34:28,недостаточно средств,да,16.11
16685,физ. лицо,получение средств,594.15,наличный,Минск,Беларусбанк-VLNM-905,13-08-2019,11:32:18,успешно,нет,0.0
16696,физ. лицо,списание средств,679.09,наличный,Брест,Приорбанк-UOWP-501,22-06-2004,07:41:32,неправильный ввод пин-кода,нет,0.0
16699,юр. лицо,получение средств,917.29,наличный,Минск,Белинвестбанк-UMET-485,05-06-2023,18:17:52,успешно,нет,0.0
16705,юр. лицо,списание средств,431.36,безналичный,Минск,Беларусбанк-ZQFB-672,13-03-2011,00:47:29,недостаточно средств,да,8.8
16715,юр. лицо,получение средств,154.35,наличный,Брест,Приорбанк-OIDQ-763,21-08-2010,10:16:50,успешно,нет,0.0
16725,юр. лицо,списание средств,732.3,безналичный,Витебск,Беларусбанк-HRUL-045,10-05-2002,12:07:14,успешно,нет,0.0
16729,физ. лицо,списание средств,58.91,безналичный,Гродно,МаксБанк-KSWC-853,09-05-2009,21:37:00,успешно,нет,0.0
16731,юр. лицо,списание средств,847.78,безналичный,Гомель,Приорбанк-BXHX-706,09-05-2022,07:37:47,недостаточно средств,нет,0.0
16736,физ. лицо,списание средств,793.15,безналичный,Гомель,Белинвестбанк-VCYT-337,19-11-2004,00:25:04,успешно,нет,0.0
16743,физ. лицо,получение средств,620.15,наличный,Минск,Приорбанк-HURY-786,07-09-2004,16:41:02,успешно,нет,0.0
16759,юр. лицо,получение средств,310.35,наличный,Минск,Беларусбанк-MHBO-353,11-04-2024,09:38:15,успешно,нет,0.0
16761,физ. лицо,списание средств,100.43,безналичный,Могилев,Приорбанк-BNIE-919,16-06-2007,14:17:28,успешно,да,2.69
16763,физ. лицо,списание средств,97.76,безналичный,Могилев,Беларусбанк-WQKD-592,21-08-2023,09:02:53,неправильный ввод пин-кода,да,5.15
16768,физ. лицо,списание средств,314.96,безналичный,Витебск,МаксБанк-NVGX-004,24-09-2013,00:27:30,успешно,нет,0.0
16777,физ. лицо,получение средств,404.1,наличный,Брест,БелАгропромбанк-NJXO-506,15-04-2015,12:36:39,успешно,нет,0.0
16782,физ. лицо,списание средств,381.25,наличный,Витебск,Белинвестбанк-PAAJ-722,23-11-2009,12:23:53,недостаточно средств,нет,0.0
16790,юр. лицо,получение средств,736.86,наличный,Могилев,Приорбанк-KZYP-965,10-02-2001,03:38:40,успешно,нет,0.0
16798,юр. лицо,списание средств,914.78,наличный,Витебск,Беларусбанк-KBVV-731,14-07-2009,07:58:45,недостаточно средств,да,42.79
16805,юр. лицо,списание средств,839.92,безналичный,Гомель,Приорбанк-NAGN-392,26-07-2014,20:34:06,успешно,нет,0.0
16806,юр. лицо,списание средств,51.72,наличный,Гродно,Белинвестбанк-CTFU-721,01-09-2001,15:31:15,недостаточно средств,нет,0.0
16809,юр. лицо,получение средств,510.33,наличный,Витебск,МаксБанк-UJPZ-112,25-12-2013,22:56:25,успешно,нет,0.0
16816,юр. лицо,получение средств,416.18,безналичный,Брест,Приорбанк-GPYP-150,01-01-2015,16:30:39,успешно,нет,0.0
16830,физ. лицо,получение средств,468.11,наличный,Гомель,Беларусбанк-DIFE-199,27-10-2016,03:23:21,успешно,нет,0.0
16833,физ. лицо,получение средств,850.3,безналичный,Минск,МаксБанк-TFLV-405,29-12-2000,16:57:49,успешно,нет,0.0
16844,физ. лицо,списание средств,254.64,безналичный,Гомель,БелАгропромбанк-APKN-456,22-12-2023,17:39:15,недостаточно средств,нет,0.0
16857,физ. лицо,получение средств,558.82,наличный,Гомель,МаксБанк-OSVK-489,23-12-2014,20:28:25,успешно,нет,0.0
16861,юр. лицо,списание средств,38.44,наличный,Гомель,МаксБанк-GYKC-874,11-05-2003,10:01:04,успешно,да,3.18
16863,физ. лицо,списание средств,190.97,безналичный,Брест,МаксБанк-SNLL-857,18-08-2018,16:15:07,неправильный ввод пин-кода,да,14.31
16873,юр. лицо,списание средств,632.04,наличный,Гродно,Приорбанк-YVIN-156,09-07-2003,13:33:17,неправильный ввод пин-кода,да,11.92
16876,физ. лицо,получение средств,600.38,наличный,Минск,Белинвестбанк-NLOM-838,28-12-2009,16:42:28,успешно,нет,0.0
16877,юр. лицо,получение средств,198.88,наличный,Могилев,БелАгропромбанк-JEML-534,01-01-2007,04:22:15,успешно,нет,0.0
16881,физ. лицо,списание средств,657.84,наличный,Гомель,Приорбанк-JYVD-585,24-10-2022,14:39:46,неправильный ввод пин-кода,нет,0.0
16886,физ. лицо,списание средств,298.16,безналичный,Гродно,Беларусбанк-UCQQ-419,11-10-2012,07:48:43,успешно,нет,0.0
16888,физ. лицо,получение средств,588.08,наличный,Витебск,БелАгропромбанк-OXAH-072,14-01-2019,08:37:10,успешно,нет,0.0
16892,юр. лицо,списание средств,315.9,безналичный,Гомель,Беларусбанк-JPFY-858,05-07-2018,23:32:21,успешно,нет,0.0
16911,физ. лицо,списание средств,824.58,наличный,Брест,Белинвестбанк-TDKG-402,27-02-2006,11:04:27,успешно,да,61.32
16915,физ. лицо,списание средств,456.95,безналичный,Минск,Приорбанк-MWZG-186,01-03-2014,20:52:39,успешно,да,45.13
16916,физ. лицо,получение средств,15.73,безналичный,Гродно,Белинвестбанк-MQEW-279,18-12-2000,03:30:40,успешно,нет,0.0
16918,физ. лицо,списание средств,451.25,безналичный,Могилев,Беларусбанк-LTGR-802,17-08-2005,03:22:59,недостаточно средств,нет,0.0
16920,юр. лицо,получение средств,313.61,безналичный,Могилев,БелАгропромбанк-NEUI-979,29-07-2017,05:30:28,успешно,нет,0.0
16921,юр. лицо,списание средств,998.71,безналичный,Витебск,Приорбанк-KPDA-569,01-01-2013,20:56:24,неправильный ввод пин-кода,нет,0.0
16928,физ. лицо,получение средств,433.17,безналичный,Гомель,МаксБанк-ELNJ-094,25-07-2018,21:24:41,успешно,нет,0.0
16931,физ. лицо,списание средств,718.98,безналичный,Гомель,БелАгропромбанк-PBBZ-821,07-08-2012,13:47:51,успешно,нет,0.0
16938,физ. лицо,списание средств,652.46,безналичный,Витебск,Беларусбанк-NKRY-431,05-03-2023,16:51:07,неправильный ввод пин-кода,да,61.77
16941,физ. лицо,получение средств,593.72,наличный,Гомель,Белинвестбанк-SILV-516,06-07-2002,07:29:13,успешно,нет,0.0
16950,юр. лицо,списание средств,677.71,безналичный,Брест,Беларусбанк-STAQ-133,05-12-2024,11:27:23,успешно,да,45.0
16951,юр. лицо,списание средств,214.74,наличный,Брест,Приорбанк-SJMK-007,03-11-2022,14:09:19,недостаточно средств,нет,0.0
16953,физ. лицо,получение средств,740.14,наличный,Гомель,МаксБанк-BUXB-880,18-12-2010,23:09:57,успешно,нет,0.0
16956,юр. лицо,списание средств,800.58,безналичный,Витебск,Приорбанк-ZYDL-905,26-02-2004,01:14:41,недостаточно средств,да,13.94
16962,физ. лицо,получение средств,496.53,наличный,Минск,Беларусбанк-UWLO-153,04-11-2024,13:40:17,успешно,нет,0.0
16964,физ. лицо,списание средств,546.59,наличный,Минск,Белинвестбанк-TCVP-945,21-03-2011,20:49:48,неправильный ввод пин-кода,нет,0.0
16965,физ. лицо,списание средств,489.6,безналичный,Гомель,МаксБанк-KWKL-842,26-11-2004,01:25:54,недостаточно средств,нет,0.0
16967,юр. лицо,получение средств,982.57,безналичный,Брест,МаксБанк-YXDR-118,06-06-2018,13:28:29,успешно,нет,0.0
16985,физ. лицо,списание средств,108.33,безналичный,Гомель,Белинвестбанк-PKOJ-554,26-02-2005,10:24:50,неправильный ввод пин-кода,да,3.68
16987,физ. лицо,получение средств,852.84,безналичный,Гродно,БелАгропромбанк-LXQD-486,08-02-2005,00:39:16,успешно,нет,0.0
16994,физ. лицо,списание средств,443.96,наличный,Минск,МаксБанк-IHSO-104,27-01-2014,07:24:19,успешно,да,27.01
16999,юр. лицо,получение средств,723.69,наличный,Брест,БелАгропромбанк-VRKN-718,30-03-2020,18:51:53,успешно,нет,0.0
17000,юр. лицо,получение средств,109.04,наличный,Гродно,МаксБанк-RTEH-712,25-07-2007,19:32:47,успешно,нет,0.0
17009,юр. лицо,получение средств,269.84,наличный,Витебск,Белинвестбанк-GQYP-476,26-05-2008,16:49:54,успешно,нет,0.0
17012,юр. лицо,получение средств,570.56,безналичный,Минск,Белинвестбанк-ALXO-842,13-06-2008,02:13:17,успешно,нет,0.0
17018,физ. лицо,списание средств,99.41,наличный,Гомель,Беларусбанк-ADQN-138,03-11-2013,15:14:37,неправильный ввод пин-кода,нет,0.0
17019,юр. лицо,получение средств,258.53,безналичный,Гомель,Приорбанк-QJMH-721,31-08-2024,07:30:47,успешно,нет,0.0
17025,юр. лицо,списание средств,652.85,наличный,Минск,БелАгропромбанк-GUHC-610,11-08-2004,05:09:23,неправильный ввод пин-кода,да,62.56
17029,юр. лицо,получение средств,766.39,наличный,Минск,МаксБанк-LPNJ-717,24-06-2024,18:46:27,успешно,нет,0.0
17034,физ. лицо,получение средств,767.73,наличный,Могилев,МаксБанк-PBHD-344,04-12-2015,22:26:54,успешно,нет,0.0
17042,юр. лицо,списание средств,262.64,наличный,Гомель,Белинвестбанк-OKIC-045,18-04-2022,14:59:14,неправильный ввод пин-кода,нет,0.0
17047,юр. лицо,списание средств,658.17,безналичный,Витебск,Приорбанк-QTXM-842,14-07-2011,04:56:23,недостаточно средств,да,11.05
17050,физ. лицо,списание средств,560.14,безналичный,Минск,Белинвестбанк-MSGY-969,08-05-2013,03:11:12,неправильный ввод пин-кода,да,22.48
17054,юр. лицо,получение средств,820.04,наличный,Минск,МаксБанк-PVAU-693,25-07-2021,13:17:29,успешно,нет,0.0
17057,юр. лицо,получение средств,156.93,наличный,Гомель,Приорбанк-XXUW-454,07-10-2014,18:34:39,успешно,нет,0.0
17059,физ. лицо,получение средств,365.26,наличный,Могилев,Приорбанк-NCYZ-265,29-08-2024,21:56:32,успешно,нет,0.0
17063,физ. лицо,списание средств,766.66,безналичный,Гомель,Приорбанк-HNBX-713,10-01-2005,15:34:27,успешно,нет,0.0
17073,юр. лицо,получение средств,942.1,безналичный,Брест,Приорбанк-RILX-668,18-12-2006,10:04:10,успешно,нет,0.0
17083,физ. лицо,получение средств,578.59,безналичный,Брест,Приорбанк-IAUC-013,02-06-2006,10:44:57,успешно,нет,0.0
17089,юр. лицо,списание средств,480.55,безналичный,Гомель,МаксБанк-RMLU-371,28-07-2014,14:40:10,успешно,нет,0.0
17091,физ. лицо,получение средств,478.39,безналичный,Могилев,МаксБанк-HRWC-831,12-03-2004,23:13:36,успешно,нет,0.0
17092,юр. лицо,списание средств,939.96,безналичный,Гродно,Белинвестбанк-EJYF-495,23-08-2014,06:14:22,успешно,да,93.1
17096,юр. лицо,списание средств,506.33,наличный,Гродно,МаксБанк-QTTW-330,27-02-2024,19:05:45,недостаточно средств,да,40.73
17103,физ. лицо,списание средств,348.78,безналичный,Гродно,Белинвестбанк-YOYJ-732,23-12-2004,19:29:10,неправильный ввод пин-кода,нет,0.0
17107,физ. лицо,получение средств,85.79,наличный,Гомель,Беларусбанк-WMBE-680,02-07-2011,14:38:38,успешно,нет,0.0
17108,физ. лицо,списание средств,469.28,безналичный,Витебск,Беларусбанк-NUNU-315,22-03-2007,01:00:57,неправильный ввод пин-кода,нет,0.0
17113,юр. лицо,списание средств,441.04,наличный,Гомель,Белинвестбанк-QMHQ-035,30-12-2001,11:50:00,недостаточно средств,нет,0.0
17122,физ. лицо,получение средств,690.81,наличный,Гомель,МаксБанк-LUKW-847,16-10-2018,21:16:26,успешно,нет,0.0
17126,физ. лицо,списание средств,543.68,безналичный,Брест,Белинвестбанк-GEQM-433,28-07-2000,19:59:34,недостаточно средств,да,31.4
17130,физ. лицо,списание средств,801.41,безналичный,Гомель,Приорбанк-ALGF-502,10-08-2001,05:32:06,недостаточно средств,нет,0.0
17142,физ. лицо,списание средств,56.98,безналичный,Минск,Приорбанк-HCCY-716,11-07-2000,13:09:15,недостаточно средств,нет,0.0
17146,юр. лицо,списание средств,895.77,наличный,Могилев,Белинвестбанк-LDBG-192,06-03-2017,12:41:14,неправильный ввод пин-кода,нет,0.0
17148,физ. лицо,списание средств,392.51,наличный,Брест,Беларусбанк-PWRA-816,06-10-2012,07:29:53,недостаточно средств,нет,0.0
17149,физ. лицо,получение средств,403.6,безналичный,Гомель,БелАгропромбанк-XTXO-712,12-05-2007,19:20:36,успешно,нет,0.0
17151,физ. лицо,получение средств,702.28,безналичный,Гомель,БелАгропромбанк-SXVD-666,12-05-2016,00:32:48,успешно,нет,0.0
17152,физ. лицо,списание средств,338.17,наличный,Гомель,Беларусбанк-CRER-670,11-03-2012,02:06:55,успешно,да,20.54
17156,физ. лицо,получение средств,964.29,безналичный,Брест,БелАгропромбанк-YDSC-237,03-08-2020,18:33:57,успешно,нет,0.0
17157,физ. лицо,списание средств,706.81,безналичный,Могилев,БелАгропромбанк-IGNR-282,26-07-2020,12:34:46,неправильный ввод пин-кода,да,65.6
17164,юр. лицо,получение средств,24.89,наличный,Брест,МаксБанк-XJAZ-595,13-04-2019,10:30:15,успешно,нет,0.0
17166,юр. лицо,получение средств,111.59,наличный,Гродно,Приорбанк-XFSB-473,17-07-2017,07:40:20,успешно,нет,0.0
17170,юр. лицо,списание средств,242.46,безналичный,Брест,Приорбанк-NSCZ-472,12-04-2002,11:53:35,успешно,нет,0.0
17177,физ. лицо,получение средств,505.66,безналичный,Минск,Приорбанк-OCOR-945,13-02-2007,16:16:10,успешно,нет,0.0
17182,юр. лицо,списание средств,859.32,наличный,Брест,БелАгропромбанк-ADBP-311,02-08-2017,23:17:48,неправильный ввод пин-кода,нет,0.0
17183,физ. лицо,получение средств,771.37,безналичный,Гродно,БелАгропромбанк-EJBZ-285,10-04-2020,00:34:19,успешно,нет,0.0
17185,физ. лицо,получение средств,407.79,безналичный,Витебск,Приорбанк-UTYL-242,14-06-2019,03:01:23,успешно,нет,0.0
17186,юр. лицо,списание средств,398.59,безналичный,Минск,Приорбанк-UASO-996,08-08-2013,22:20:00,успешно,нет,0.0
17197,физ. лицо,списание средств,544.92,безналичный,Брест,Белинвестбанк-ZHKL-782,02-04-2009,08:23:55,неправильный ввод пин-кода,нет,0.0
17202,юр. лицо,получение средств,667.86,наличный,Гродно,Белинвестбанк-CWVJ-599,25-06-2024,00:43:13,успешно,нет,0.0
17203,физ. лицо,получение средств,914.85,безналичный,Гродно,МаксБанк-VLAB-819,20-08-2022,15:27:30,успешно,нет,0.0
17207,юр. лицо,получение средств,525.34,наличный,Витебск,БелАгропромбанк-XIBU-633,14-07-2011,02:39:35,успешно,нет,0.0
17211,юр. лицо,получение средств,619.43,безналичный,Витебск,МаксБанк-ZGRT-176,28-10-2021,22:23:15,успешно,нет,0.0
17214,юр. лицо,получение средств,774.59,наличный,Могилев,Приорбанк-ANLC-294,16-09-2010,09:16:26,успешно,нет,0.0
17225,юр. лицо,получение средств,639.82,наличный,Гомель,МаксБанк-ZUBQ-564,29-08-2004,14:40:55,успешно,нет,0.0
17231,физ. лицо,получение средств,483.14,наличный,Гомель,Белинвестбанк-GEZI-929,28-04-2005,03:54:57,успешно,нет,0.0
17234,юр. лицо,списание средств,843.64,безналичный,Гомель,Беларусбанк-MRTV-838,06-05-2012,01:10:34,неправильный ввод пин-кода,нет,0.0
17251,физ. лицо,списание средств,293.17,наличный,Гродно,БелАгропромбанк-FWTT-755,19-09-2003,01:27:27,недостаточно средств,нет,0.0
17256,юр. лицо,списание средств,243.44,безналичный,Брест,БелАгропромбанк-YSUP-423,07-01-2005,01:45:31,неправильный ввод пин-кода,да,18.49
17261,физ. лицо,получение средств,237.24,безналичный,Брест,МаксБанк-DFZA-454,07-01-2013,16:35:00,успешно,нет,0.0
17273,юр. лицо,списание средств,150.22,безналичный,Гродно,БелАгропромбанк-TZSL-714,07-10-2012,20:02:05,успешно,да,10.8
17276,юр. лицо,списание средств,102.83,наличный,Минск,Белинвестбанк-USEW-900,24-12-2001,17:59:15,недостаточно средств,да,5.44
17277,физ. лицо,получение средств,318.68,безналичный,Брест,МаксБанк-OZEY-387,24-12-2009,01:01:46,успешно,нет,0.0
17282,юр. лицо,получение средств,236.54,безналичный,Гомель,МаксБанк-FTYI-316,07-08-2002,22:48:54,успешно,нет,0.0
17294,физ. лицо,получение средств,80.35,наличный,Могилев,МаксБанк-DYKU-137,29-05-2000,12:54:24,успешно,нет,0.0
17296,физ. лицо,получение средств,39.79,безналичный,Брест,БелАгропромбанк-NTCY-622,01-12-2015,12:47:37,успешно,нет,0.0
17297,физ. лицо,получение средств,113.83,безналичный,Гродно,МаксБанк-NNLX-579,10-07-2014,06:08:48,успешно,нет,0.0
17298,юр. лицо,получение средств,584.57,безналичный,Брест,БелАгропромбанк-HEUO-399,24-04-2014,11:23:22,успешно,нет,0.0
17302,физ. лицо,списание средств,382.74,наличный,Минск,БелАгропромбанк-ZKQV-587,04-01-2011,14:08:05,недостаточно средств,нет,0.0
17304,юр. лицо,получение средств,459.62,безналичный,Брест,БелАгропромбанк-CGBA-975,03-01-2019,21:47:54,успешно,нет,0.0
17310,юр. лицо,списание средств,771.92,безналичный,Минск,Белинвестбанк-MPTV-763,19-11-2014,16:42:33,успешно,нет,0.0
17312,физ. лицо,списание средств,49.13,наличный,Витебск,Приорбанк-CSHR-257,23-08-2022,15:02:31,недостаточно средств,нет,0.0
17314,юр. лицо,списание средств,934.78,безналичный,Витебск,МаксБанк-JNQC-357,12-10-2021,03:08:21,неправильный ввод пин-кода,да,89.52
17320,юр. лицо,списание средств,322.01,безналичный,Витебск,Приорбанк-UJDZ-301,17-07-2010,01:30:41,неправильный ввод пин-кода,нет,0.0
17324,физ. лицо,получение средств,511.87,безналичный,Могилев,Беларусбанк-HBNC-827,05-10-2021,09:31:03,успешно,нет,0.0
17325,юр. лицо,списание средств,18.2,безналичный,Витебск,Приорбанк-DJGS-536,12-07-2008,11:07:51,неправильный ввод пин-кода,нет,0.0
17331,физ. лицо,списание средств,936.09,наличный,Могилев,Приорбанк-WKQH-267,07-07-2014,01:06:18,недостаточно средств,да,46.7
17345,физ. лицо,списание средств,715.58,безналичный,Гомель,Белинвестбанк-UOVN-427,27-09-2013,20:26:56,успешно,да,56.81
17346,физ. лицо,получение средств,297.2,наличный,Могилев,БелАгропромбанк-YUQK-042,27-10-2023,14:16:57,успешно,нет,0.0
17347,физ. лицо,получение средств,963.69,безналичный,Гродно,МаксБанк-DABG-105,20-04-2014,18:26:02,успешно,нет,0.0
17355,физ. лицо,получение средств,831.53,безналичный,Могилев,БелАгропромбанк-FGGS-823,25-03-2017,09:05:58,успешно,нет,0.0
17369,физ. лицо,получение средств,55.04,наличный,Витебск,МаксБанк-HDJL-797,15-05-2016,22:37:52,успешно,нет,0.0
17373,физ. лицо,списание средств,888.4,наличный,Минск,Белинвестбанк-WSHC-306,21-08-2008,05:06:38,недостаточно средств,да,46.42
17374,физ. лицо,получение средств,672.02,безналичный,Брест,БелАгропромбанк-XJQE-764,22-12-2001,07:11:54,успешно,нет,0.0
17382,юр. лицо,получение средств,268.21,безналичный,Минск,Приорбанк-UOKQ-885,10-06-2006,12:22:42,успешно,нет,0.0
17385,юр. лицо,списание средств,183.07,наличный,Минск,Белинвестбанк-MDTC-154,04-12-2009,07:35:10,недостаточно средств,да,11.76
17394,физ. лицо,списание средств,74.67,наличный,Брест,Беларусбанк-ASNR-824,21-11-2017,10:50:06,неправильный ввод пин-кода,нет,0.0
17399,юр. лицо,получение средств,438.93,безналичный,Витебск,Беларусбанк-AHOU-033,28-11-2017,17:46:18,успешно,нет,0.0
17404,юр. лицо,получение средств,381.86,наличный,Гродно,Беларусбанк-APMO-062,18-01-2021,14:12:50,успешно,нет,0.0
17407,юр. лицо,списание средств,849.45,наличный,Минск,Беларусбанк-RSHS-745,25-11-2017,08:28:37,неправильный ввод пин-кода,да,57.85
17409,юр. лицо,получение средств,188.78,наличный,Витебск,МаксБанк-YZCK-464,30-08-2006,23:44:25,успешно,нет,0.0
17412,юр. лицо,получение средств,147.88,безналичный,Гродно,Беларусбанк-ZYKM-805,24-08-2013,09:40:11,успешно,нет,0.0
17417,юр. лицо,получение средств,965.78,наличный,Могилев,Беларусбанк-NZIA-712,29-12-2004,13:05:26,успешно,нет,0.0
17418,физ. лицо,получение средств,872.61,безналичный,Гомель,Приорбанк-VCOV-543,31-03-2008,14:01:03,успешно,нет,0.0
17419,физ. лицо,списание средств,137.41,наличный,Минск,МаксБанк-SVAI-159,10-04-2012,15:42:37,успешно,да,13.5
17420,физ. лицо,списание средств,694.19,наличный,Витебск,МаксБанк-JQYQ-837,06-02-2017,07:57:34,недостаточно средств,нет,0.0
17422,юр. лицо,списание средств,251.13,безналичный,Гродно,БелАгропромбанк-DTFJ-147,05-11-2007,19:29:49,успешно,нет,0.0
17425,физ. лицо,получение средств,184.92,наличный,Брест,МаксБанк-QBIB-478,16-02-2024,18:03:27,успешно,нет,0.0
17434,физ. лицо,получение средств,901.07,безналичный,Витебск,Беларусбанк-UIEY-874,03-05-2012,14:15:47,успешно,нет,0.0
17435,физ. лицо,получение средств,414.48,наличный,Гродно,Приорбанк-XYPY-834,05-10-2021,18:02:22,успешно,нет,0.0
17439,физ. лицо,списание средств,924.13,безналичный,Могилев,МаксБанк-NVHP-931,30-04-2024,22:00:51,недостаточно средств,нет,0.0
17444,физ. лицо,получение средств,429.37,наличный,Минск,Беларусбанк-JPNB-429,26-03-2004,20:31:19,успешно,нет,0.0
17445,физ. лицо,списание средств,629.11,наличный,Минск,Белинвестбанк-PZUY-896,19-12-2024,18:05:52,неправильный ввод пин-кода,да,52.19
